artist_name,track_name,genres,followers,popularity,duration,release_date,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Eminem,Superman,"['detroit hip hop', 'hip hop', 'rap']",68379095,87,350.32,2002-05-26,0.802,0.755,0.0564,0.0215,0.0,0.295,0.58,130.027,hip hop
Eminem,Till I Collapse,"['detroit hip hop', 'hip hop', 'rap']",68379095,86,297.786,2002-05-26,0.548,0.847,0.186,0.0622,0.0,0.0816,0.1,171.447,hip hop
Eminem,Stan,"['detroit hip hop', 'hip hop', 'rap']",68379095,84,404.106,2000-05-23,0.78,0.768,0.238,0.0371,2.34e-06,0.518,0.507,80.063,hip hop
Eminem,Love The Way You Lie,"['detroit hip hop', 'hip hop', 'rap']",68379095,84,263.373,2010-06-18,0.749,0.925,0.227,0.241,0.0,0.52,0.641,86.989,hip hop
Eminem,Godzilla (feat. Juice WRLD),"['detroit hip hop', 'hip hop', 'rap']",68379095,83,210.8,2020-01-17,0.808,0.745,0.342,0.145,0.0,0.292,0.829,165.995,hip hop
Eminem,Not Afraid,"['detroit hip hop', 'hip hop', 'rap']",68379095,81,248.133,2010-06-18,0.855,0.954,0.264,0.529,0.0,0.205,0.668,114.635,hip hop
$uicideboy$,"...And to Those I Love, Thanks for Sticking Around","['dark trap', 'new orleans rap', 'underground hip hop']",5344455,80,168.489,2020-02-14,0.792,0.511,0.0409,0.124,9.04e-05,0.14,0.111,113.983,hip hop
$uicideboy$,Kill Yourself (Part III),"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,79,145.078,2015-09-21,0.753,0.68,0.0349,0.326,4.15e-05,0.423,0.192,105.977,hip hop
$uicideboy$,Antarctica,"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,79,126.85,2016-01-26,0.715,0.633,0.0804,0.553,4.45e-06,0.0905,0.319,105.945,hip hop
$uicideboy$,Paris,"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,78,111.02,2015-11-20,0.849,0.648,0.0835,0.0706,0.00636,0.0984,0.195,106.058,hip hop
$uicideboy$,Big Shot Cream Soda,"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,75,195.6,2023-02-15,0.878,0.714,0.239,0.0528,7.64e-06,0.143,0.636,150.029,hip hop
$uicideboy$,1000 Blunts,"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,76,175.476,2022-07-29,0.83,0.698,0.077,0.224,1.02e-06,0.191,0.595,132.99,hip hop
$uicideboy$,For the Last Time,"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,76,156.081,2017-09-05,0.844,0.533,0.552,0.0735,3.46e-06,0.0953,0.23,140.078,hip hop
$uicideboy$,My Flaws Burn Through My Skin Like Demonic Flames from Hell,"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,75,167.679,2015-08-01,0.78,0.748,0.0352,0.00448,0.000546,0.115,0.0663,125.98,hip hop
$uicideboy$,Matte Black,"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,75,238.145,2022-07-29,0.877,0.826,0.206,0.122,1.05e-05,0.104,0.814,75.003,hip hop
$uicideboy$,Runnin' Thru the 7th with My Woadies,"['dark trap', 'new orleans rap', 'underground hip hop']",5344455,75,205.766,2015-09-15,0.686,0.621,0.187,0.0656,0.000221,0.139,0.187,112.082,hip hop
Lil Wayne,Love Me,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,80,255.053,2013-01-01,0.669,0.634,0.0327,0.0125,0.0,0.0946,0.496,124.906,hip hop
Lil Wayne,Lollipop,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,66,299.333,2008-01-01,0.832,0.43,0.0826,0.0606,0.00323,0.124,0.462,148.074,hip hop
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,75,243.49,2016-06-24,0.502,0.786,0.317,0.255,0.0,0.65,0.739,169.021,hip hop
Lil Wayne,A Milli,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,67,221.813,2008-01-01,0.663,0.688,0.283,0.0391,0.00224,0.223,0.731,151.589,hip hop
Lil Wayne,Forever,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,73,357.706,2009-05-15,0.457,0.906,0.342,0.249,0.0,0.182,0.54,104.02,hip hop
Lil Wayne,6 Foot 7 Foot,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,73,248.586,2011-08-29,0.364,0.752,0.304,0.0007,0.0,0.318,0.606,79.119,hip hop
Lil Wayne,Mirror,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,75,228.093,2011-08-29,0.328,0.622,0.0866,0.858,0.0,0.104,0.401,74.267,hip hop
Lil Wayne,Gladiador - Remix,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,74,197.374,2023-03-17,0.584,0.787,0.146,0.203,0.0,0.251,0.765,153.992,hip hop
Lil Wayne,AIN'T GONNA ANSWER,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,73,187.453,2023-03-23,0.879,0.875,0.18,0.0808,0.0,0.327,0.763,95.021,hip hop
Lil Wayne,HOT WIND BLOWS (feat. Lil Wayne),"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13341837,70,155.292,2021-06-25,0.371,0.75,0.402,0.601,0.0,0.482,0.729,173.456,hip hop
XXXTENTACION,Revenge,"['emo rap', 'miami hip hop']",41044554,87,120.026,2017-08-25,0.746,0.251,0.259,0.782,0.00203,0.106,0.18,139.999,hip hop
XXXTENTACION,Hope,"['emo rap', 'miami hip hop']",41044554,85,110.886,2018-03-16,0.592,0.457,0.0603,0.661,0.000331,0.146,0.225,146.04,hip hop
XXXTENTACION,Everybody Dies In Their Nightmares,"['emo rap', 'miami hip hop']",41044554,84,95.466,2017-08-25,0.734,0.57,0.133,0.847,2.14e-05,0.112,0.689,129.953,hip hop
XXXTENTACION,Jocelyn Flores,"['emo rap', 'miami hip hop']",41044554,83,119.133,2017-08-25,0.872,0.391,0.242,0.469,4.13e-06,0.297,0.437,134.021,hip hop
XXXTENTACION,Moonlight,"['emo rap', 'miami hip hop']",41044554,83,135.09,2018-03-16,0.921,0.537,0.0804,0.556,0.00404,0.102,0.711,128.009,hip hop
XXXTENTACION,SAD!,"['emo rap', 'miami hip hop']",41044554,82,166.605,2018-03-16,0.74,0.613,0.145,0.258,0.00372,0.123,0.473,75.023,hip hop
XXXTENTACION,Fuck Love (feat. Trippie Redd),"['emo rap', 'miami hip hop']",41044554,82,146.52,2017-08-25,0.797,0.533,0.0412,0.0172,0.000152,0.103,0.329,131.036,hip hop
XXXTENTACION,Look At Me!,"['emo rap', 'miami hip hop']",41044554,81,126.345,2017-02-20,0.763,0.726,0.282,0.259,0.0,0.0976,0.349,139.059,hip hop
XXXTENTACION,Falling Down - Bonus Track,"['emo rap', 'miami hip hop']",41044554,80,196.4,2018-11-09,0.669,0.574,0.0286,0.0175,0.00294,0.146,0.273,120.013,hip hop
XXXTENTACION,changes,"['emo rap', 'miami hip hop']",41044554,78,121.886,2018-03-16,0.669,0.308,0.029,0.883,0.0,0.0984,0.52,64.934,hip hop
Gunna,Drip Too Hard (Lil Baby & Gunna),"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,84,145.542,2018-10-05,0.897,0.662,0.292,0.0852,0.0,0.534,0.389,112.511,hip hop
Gunna,"Lemonade (feat. Gunna, Don Toliver & NAV)","['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,76,195.428,2020-08-28,0.8,0.658,0.079,0.25,0.0,0.111,0.462,140.042,hip hop
Gunna,pushin P (feat. Young Thug),"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,77,136.266,2022-01-13,0.773,0.422,0.187,0.00783,0.00693,0.129,0.488,77.502,hip hop
